,"Vivienda a las afueras, compra (USD/m2)","Vivienda en el centro de la ciudad, compra (USD/m2)","Vivienda (3 habitaciones) a las afueras, alquiler (USD)","Vivienda (3 habitaciones) en el centro de la ciudad, alquiler (USD)","Apartamento (1 dormitorio) en las afueras, alquiler (USD)","Apartamento (1 dormitorio) en el centro de la ciudad, alquiler (USD)"
Noruega,4351.07,6253.34,1376.79,1765.65,851.3,1103.53
Nueva-zelandia,3731.45,4864.22,1399.29,1799.09,866.23,1066.13
Oman,1742.15,2288.2,650.06,1014.09,377.03,572.05
Paises-bajos,3620.02,4787.77,1518.07,1985.17,1027.62,1284.52
Pakistan,407.6,666.87,180.12,284.2,83.51,132.75
Panama,1600.0,2200.0,890.0,1400.0,480.0,730.0
Papua-nueva-guinea,9037.77,13770.48,1111.9,2366.36,484.68,1368.49
Paraguay,701.36,1217.85,415.09,590.16,195.62,286.09
Peru,1134.01,1687.18,497.86,746.78,251.69,414.88
Polonia,1845.51,2755.62,707.87,935.39,429.78,530.9
Portugal,1985.17,3036.15,899.17,1284.52,537.16,700.65
Puerto-rico,1200.0,1500.0,830.0,1100.0,440.0,610.0
Reino-unido,3883.5,5436.9,1281.56,1682.85,789.65,970.88
Republica-checa,2861.29,4033.18,769.85,1047.86,474.74,603.05
Republica-dominicana,571.23,1033.0,338.63,631.09,196.68,350.6
Ruanda,26358.97,4464.51,587.49,1174.15,234.46,439.69
Rumania,1173.76,1652.85,431.18,598.86,263.5,335.36
Rusia,779.87,1125.08,380.49,553.09,192.76,289.77
Senegal,11689.6,12303.22,712.01,1639.25,249.28,604.3
Serbia,1301.5,2130.54,374.4,592.31,206.02,301.11
Singapur,9662.51,19325.03,2342.43,4026.05,1390.82,2122.83
Siria,688.66,1412.44,217.91,357.21,99.3,203.87
Sri-lanka,1034.21,2665.82,297.35,698.88,136.74,302.77
Sudafrica,769.28,1163.14,713.89,855.43,369.25,443.1
Sudan,350.79,649.14,347.17,598.51,204.33,376.11
Suecia,3809.24,5900.37,1085.13,1492.05,666.9,926.88
Suiza,8279.05,12091.77,2396.57,2941.24,1198.28,1634.02
Tailandia,1856.71,3572.07,626.4,1095.39,273.05,469.0
Taiwan,5451.32,8294.11,723.81,1101.45,325.19,475.55
Tanzania,906.75,1972.04,679.97,773.05,283.23,300.78
Tayikistan,319.05,754.12,270.71,589.76,116.02,212.7
Togo,,,,,,
Tunez,576.57,828.82,234.23,327.92,126.12,183.78
Turkmenistan,1257.14,1828.57,542.86,542.86,240.0,314.29
Turquia,443.28,802.7,203.67,335.46,119.81,191.69
Ucrania,579.76,976.81,337.31,523.54,200.28,298.66
Uganda,356.55,14707.94,283.2,632.66,116.83,160.45
Uruguay,1867.06,2399.17,583.46,725.82,319.73,413.09
Uzbekistan,478.23,945.88,320.23,550.0,166.3,269.05
Venezuela,,,,,,
Vietnam,1150.15,2392.44,589.38,898.13,299.16,419.95
Yemen,752.15,1450.37,243.66,425.8,103.85,183.74
Zambia,27921.57,17008.2,281.44,481.41,121.49,139.5
Zimbabue,1827.8,1538.55,516.95,609.27,233.86,301.56
